ASIC1	ACCN2
NLRP1	NALP1
NLRP1	SLEV1
ACP4	ACPT
NHP2	NOLA2
NOP10	NOLA3
CDRT1	FBXW10P1
ACTG1	ACTG
ACTG1	DFNA20
ACTG1	DFNA26
SLC25A19	MCPHA
ELOVL4	STGD2
ELOVL4	STGD3
ELOVL4	SCA34
CALM1	CALML2
TMEM237	ALS2CR4
CARF	ALS2CR8
RAPH1	ALS2CR9
RAPH1	ALS2CR18
C2CD6	ALS2CR11
PARD3B	ALS2CR19
TAS1R1	GPR70
LPIN3	LIPN3L
MACROH2A2	H2AFY2
SLC39A11	C17orf26
MRPL28	MAAT1
ACTG2	ACTL3
ACTG2	ACTA3
MIOX	ALDRL6
RNF213	C17orf27
RNF213	KIAA1618
RNF213	MYMY2
WNK1	PRKWNK1
WNK1	HSN2
WNK2	SDCCAG43
WNK2	PRKWNK2
WNK3	PRKWNK3
WNK4	PRKWNK4
CDHR1	PCDH21
CLEC4D	CLECSF8
CLEC7A	CLECSF12
SORBS1	SH3D5
VPS45	VPS45B
VPS45	VPS45A
PINK1	PARK6
IMMP2L	IMMP2L-IT1
CAMK2A	CAMKA
ECI2	PECI
CAMK2B	CAMKB
PAPPA2	PLAC3
CAMK2D	CAMKD
CAMK2G	CAMKG
CRELD1	AVSD2
ADAMTSL1	C9orf94
ABCA12	ICR2B
MMEL1	MMEL2
PCDH15	USH1F
PCDH15	DFNB23
KCTD12	C13orf2
POFUT2	C21orf80
F11R	JAM1
JAM2	C21orf43
OR51B2	OR51B1P
OR2T2	OR2T2P
CAPG	AFCP
CAPN3	LGMD2
CAPN3	LGMD2A
CAPN5	VRNI
COG5	GOLTC1
POLR2M	GRINL1A
ESX1	ESX1L
INTS6	DDX26
ZEB2	ZFHX1B
DNAJB6	LGMD1D
TAS1R2	GPR71
SHPK	CARKL
PLAAT1	HRASLS
CARS1	CARS
ALX1	CART1
PPP1R12C	LENG3
RCC1L	WBSCR16
TAAR8	GPR102
TAAR8	TRAR5
CASK	TNRC8
ASAP3	DDEFL1
CASP1	IL1BC
OR10X1	OR10X1P
OR2W3	OR2W8P
OR2W3	OR2W3P
OR14A16	OR5AT1
CASP2	NEDD2
OR6B2	OR6B2P
OR6B3	OR6B3P
OR2A12	OR2A12P
CASQ1	CASQ
OR10G9	OR10G10P
OR10A4	OR10A4P
CASR	HHC
CASR	HHC1
OR2AG1	OR2AG3
OR4D11	OR4D11P
OR51F1	OR51F1P
CAV1	CAV
MICU1	CBARA1
RUNX1T1	AML1T1
RUNX1T1	CBFA2T1
OR10P1	OR10P1P
OR10P1	OR10P2P
OR10P1	OR10P3P
OR2Z1	OR2Z2
SERPINA6	CBG
CBL	CBL2
PRPF31	RP11
GOLIM4	GOLPH4
GOLM1	GOLPH2
GOLM1	C9orf155
ACBD3	GOLPH1
ACBD3	GOCAP1
MBTPS2	KFSD
P2RX2	DFNA41
SERPINH1	CBP1
SERPINH1	CBP2
SERPINH1	SERPINH2
MANF	ARMET
DYNLRB2	DNCL2B
ADAM33	C20orf153
CBR1	CBR
DIAPH3	AUNA1
SIGLEC12	SIGLECL1
ANKH	CCAL2
ANKH	CMDJ
LILRA6	LILRB6
MBOAT7	LENG4
TSEN34	LENG5
SMYD3	ZNFN3A1
SMYD3	ZMYND1
CBX2	CDCA6
LPAR6	P2RY5
ARID4B	RBP1L1
CHCHD10	C22orf16
IL36RN	IL1F5
IL37	IL1F7
IL36B	IL1F8
QRFPR	GPR103
TRIM8	RNF27
PDE4DIP	CMYA2
TFAP2D	TFAP2BL1
SLC35D3	FRCL1
B3GNT2	B3GNT1
TCERG1	TAF2S
KYAT1	CCBL1
UGGT1	UGCGL1
UGGT2	UGCGL2
ALG9	DIBD1
CTTNBP2	CORTBP2
CTTNBP2	C7orf8
SKAP2	SCAP2
LDB3	CMD1C
LRPPRC	LSFC
MAP1S	C19orf5
MAP1S	VCY2IP1
MAP1S	BPY2IP1
HEBP2	C6orf34
KRIT1	CCM1
HID1	C17orf28
ERMAP	RD
ERMAP	SC
BPIFA1	PLUNC
CPXM1	CPXM
PIGU	CDC91L1
OVOL2	ZNF339
OVOL2	CHED1
GZF1	ZNF336
ACSS2	ACAS2
DHX29	DDX29
RBM38	RNPC1
CCND1	BCL1
CCND1	D11S287E
CCND1	PRAD1
BSCL2	GNG3LG
BSCL2	SPG17
PROKR2	GPR73L1
PROKR2	KAL3
ERBIN	ERBB2IP
PALMD	C1orf11
CD93	MXRA4
CD93	C1QR1
TASP1	C20orf13
PRPF6	C20orf14
SMOX	C20orf16
RBCK1	C20orf18
KIZ	NCRNA00153
KIZ	C20orf19
KIZ	PLK1S1
YTHDF1	C20orf21
ABHD12	C20orf22
KIF16B	C20orf23
TMEM230	C20orf30
EDEM2	C20orf49
EDEM2	C20orf31
CASS4	C20orf32
CTNNBL1	C20orf33
CDK5RAP1	C20orf34
AAR2	C20orf4
RTEL1	C20orf41
FERMT1	C20orf42
PANK2	C20orf48
PANK2	NBIA1
ESF1	C20orf6
NDUFAF5	C20orf7
DEFB126	C20orf8
IFT52	C20orf9
KAT14	CSRP2BP
L3MBTL1	L3MBTL
NOP56	NOL5A
PAK5	PAK7
REM1	REM
ERGIC3	SDBCAG84
ERGIC3	C20orf47
NELFCD	TH1L
ZHX3	TIX1
UCKL1	URKL1
CELA3B	ELA3B
GDAP1	CMT4A
TSG101	TSG10
SASH3	CXorf9
TP63	TP73L
TP63	TP53L
TP63	TP53CP
APTX	AXA1
LIN28A	LIN28
GLRX3	TXNL2
SERPINA3	AACT
ACTL6B	ACTL6
SUGCT	C7orf10
MPLKIP	C7orf11
TRIM63	RNF28
TRIM54	RNF30
MOB1A	C2orf6
MOB1A	MOBK1B
MOB1A	MOBKL1B
CCR1	SCYAR1
CCR1	CMKBR1
IL33	C9orf26
CCR2	CMKBR2
STRC	DFNB16
CFAP52	WDR16
SLC46A2	TSCOT
NLN	AGTBP
CCR5	CMKBR5
CRTC1	MECT1
ACER3	PHCA
PCNT	PCNT2
CCR6	STRL22
CCR7	CMKBR7
CCR7	EBI1
ZBTB46	ZNF340
ZBTB46	BTBD4
TOX2	C20orf100
PHF20	C20orf104
CCR9	GPR28
BPIFB1	C20orf114
DDRGK1	C20orf116
SOGA1	C20orf117
SOGA1	KIAA0889
TLDC2	C20orf118
FAM83C	C20orf128
EMILIN3	C20orf130
EMILIN3	EMILIN5
MACROD2	C20orf133
WFDC13	C20orf138
TBC1D20	C20orf140
FITM2	C20orf142
MCM8	C20orf154
CRLS1	C20orf155
CCT3	TRIC5
DSN1	C20orf172
ZNF831	C20orf174
RIPOR3	C20orf175
RIPOR3	C20orf176
RIPOR3	FAM65C
CHMP4B	C20orf178
RSPO4	C20orf182
ZBP1	C20orf183
RIMS4	C20orf190
SLC52A3	C20orf54
FAM110A	C20orf55
SLC17A9	C20orf59
HSPA12B	C20orf60
TP53RK	C20orf64
BPIFA2	C20orf70
MGME1	C20orf72
RALGAPA2	C20orf74
COMMD7	C20orf92
TRIB3	C20orf97
NRSN2	C20orf98
CCT8	C21orf112
COX4I2	COX4L2
DNAJC5	CLN4
SUN5	SPAG4L
SPTLC3	C20orf38
SPTLC3	SPTLC2L
TGM6	TGM3L
SMYD5	RAI15
MAML3	TNRC3
NFU1	HIRIP5
GALNT17	WBSCR17
MRM2	FTSJ2
WHRN	DFNB31
NKX2-8	NKX2H
OTOA	DFNB22
TRIM32	LGMD2H
CD2	SRBC
NOD1	CARD4
NLRP3	C1orf7
NLRP3	CIAS1
NLRP3	DFNA34
BUD23	WBSCR22
EFHC1	EJM1
EFHC1	EJM
NLRC4	CARD12
AZIN1	OAZIN
GGTLC1	GGTLA4
GGTLC1	GGTLA3
SLC4A11	CHED2
SLC4A11	CDPD1
P2RY14	GPR105
NKAIN2	TCBA1
CARD14	PSORS2
NMUR2	NMU2R
PRPF40A	FNBP3
LACTB	MRPL56
ACAP2	CENTB2
SLC45A2	MATP
NME8	TXNDC3
ADAP1	CENTA1
ADAP2	CENTA2
ATG4A	AUTL2
ATG4A	APG4A
PIDD1	LRDD
PIDD1	PIDD
ZMIZ1	RAI17
ACSL6	FACL6
RAB39B	MRX72
RAB39B	WSN
BSND	DFNB73
TMC1	DFNA36
TMC1	DFNB7
TMC1	DFNB11
ACSL5	FACL5
TMC2	C20orf145
ACTN4	FSGS1
LCE3C	SPRL3A
BHLHE41	BHLHB3
CHEK2	RAD53
KIF1B	CMT2A
KIF1B	CMT2
SCARB1	CD36L1
SCARB2	CD36L2
OTUD7B	ZA20D1
SNW1	SKIIP
AKTIP	FTS
DHX30	DDX30
DHX32	DDX32
DHX34	DDX34
CD3D	T3D
GORASP1	GOLPH5
CD247	CD3Z
NPL	C1orf13
TRMT1L	C1orf25
CDC73	C1orf28
CDC73	HRPT2
CDC73	HRPT1
NIBAN1	C1orf24
NIBAN1	FAM129A
EDEM3	C1orf22
SHCBP1L	C1orf14
NMNAT2	C1orf15
TSEN15	C1orf19
UBR5	EDD1
CD44	MIC4
CD44	MDU2
CD44	MDU3
COQ8A	CABC1
COQ8A	ADCK3
ESS2	DGCR13
ESS2	DGCR14
NOP14	C4orf9
NOP14	NOL14
FAM193A	C4orf8
TMEM11	C17orf35
TSC22D1	TGFB1I4
CDC123	C10orf7
CD48	BCM1
TSPOAP1	BZRAP1
THEMIS2	C1orf38
MED20	TRFP
CTR9	SH2BP1
RAPGEF2	PDZGEF1
DLGAP5	DLG7
FIG4	KIAA0274
REC8	REC8L1
CD59	MIC11
CD59	MIN1
CD59	MSK21
CD59	MIN2
CD59	MIN3
PLIN3	M6PRBP1
SPEG	APEG1
KLHL41	KBTBD10
NDC80	KNTC2
LRRN2	LRRN5
CLEC10A	CLECSF14
CD63	MLA1
AGAP2	CENTG1
AGAP1	CENTG2
AGAP3	CENTG3
ARAP1	CENTD2
ATG7	APG7L
ERLIN1	C10orf69
ERLIN1	SPFH1
FAM120C	CXorf17
PPP1R17	C7orf16
CFHR4	CFHL4
CD79A	IGA
CFHR3	CFHL3
LMAN2	C5orf8
CD79B	IGB
CD80	CD28LG
CD80	CD28LG1
CNMD	MYETS1
CNMD	LECT1
TRIOBP	DFNB28
CD81	TAPA1
HNRNPUL1	HNRPUL1
KAT7	MYST2
NIPA1	SPG6
CD86	CD28LG2
SEC31A	SEC31L1
CD8A	CD8
KDM4C	JMJD2C
ERC1	RAB6IP2
TAB2	MAP3K7IP2
EXOC6B	SEC15L2
EXOC6B	SEC15B
ICOSLG	ICOSL
SYNE1	C6orf98
CD9	MIC3
DICER1	MNG1
ACVR1	ACVRLK2
ARHGAP45	HMHA1
TNPO3	LGMD1F
BEST4	VMD2L2
ADGRE5	CD97
ADAMTS18	ADAMTS21
SLC39A4	AEZ
OPTN	GLC1E
SNAPIN	SNAPAP
ARL2BP	RP66
ORC6	ORC6L
SEPTIN7	CDC10
SEPTIN7	SEPT7
CDC14A	DFNB32
ASB10	GLC1F
PSORS1C2	C6orf17
ACVR1B	ACVRLK4
PSORS1C1	C6orf16
DHX37	DDX37
DHX38	DDX38
DIP2A	C21orf106
CDK1	CDC2
CFAP45	CCDC19
CDC25C	CDC25
CENPJ	MCPH6
KIF15	KNSL7
CDC27	D0S1430E
CDC27	D17S978E
RIMS1	RAB3IP2
RIMS1	CORD7
RIMS2	RAB3IP3
CDK11B	CDC2L1
CDK11A	CDC2L3
CDK11A	CDC2L2
TAF8	TBN
TIMM22	TEX4
RXFP2	LGR8
SMR3B	PROL3
SLA2	C20orf156
CDK13	CDC2L5
PRPF8	RP13
URB1	C21orf108
PRPF3	RP18
IFT57	ESRRBL1
CDC45	CDC45L2
CDC45	CDC45L
ZC3H12B	CXorf32
ADGRV1	USH2C
ADGRV1	MASS1
ADGRV1	GPR98
LRBA	CDC4L
NPFFR1	GPR147
CDC6	CDC18L
COP1	RFWD2
RCOR1	RCOR
CDC7	CDC7L1
RCHY1	ZNF363
CDH1	UVO
PPP2R3C	C14orf10
GJC2	GJA12
GJC3	GJE1
ACVRL1	ACVRLK1
ACVRL1	ORW2
ZNF385A	ZNF385
ASIC5	ACCN5
KREMEN1	KREMEN
MED16	THRAP5
KAT6B	MYST4
LTO1	ORAOV1
CDH2	NCAD
CADM3	IGSF4B
ZNF674	MRX92
CD274	PDCD1LG1
DCLRE1C	SCIDA
SH3RF1	SH3MD2
PORCN	DHOF
NECTIN3	PVRL3
RIC1	KIAA1432
SARS2	SARSM
TAAR1	TRAR1
TSPAN5	TM4SF9
PDSS1	TPRT
TDP2	TTRAP
RALGAPA1	GARNL1
YLPM1	C14orf170
CDK9	CDC2L4
FARSB	FARSLB
ZC3H4	C19orf7
SMG6	C17orf31
SLF2	C10orf6
SLF2	FAM178A
IFI44L	C1orf29
NT5C3A	NT5C3
DDX39A	DDX39
PTGES2	C9orf15
ST8SIA5	SIAT8E
NIFK	MKI67IP
CDKN1A	CDKN1
TGS1	NCOA6IP
ST6GALNAC4	SIAT7D
ADGRA2	GPR124
IBTK	BTKI
HACL1	HPCL
TRIM69	RNF36
NUP188	KIAA0169
CDKN1C	BWCR
CDKN1C	BWS
NPTN	SDFR1
CDKN2A	CDKN2
CDKN2A	MLM
INVS	NPHP2
NMRK2	ITGB1BP3
NMNAT1	LCA9
PGAP2	MRT21
PGAP2	MRT17
ZNF638	ZFML
MED4	VDRIP
DROSHA	RNASEN
ZDHHC1	C16orf1
GRHL1	TFCP2L2
SLC45A1	DNB5
BORCS5	LOH12CR1
CEP83	CCDC41
REEP2	C5orf19
CDR1	CDR
RTCA	RTCD1
TRPM6	HOMG
TRPM6	HSH
GIMAP5	IAN4L1
GLIPR2	C9orf19
DHX40	DDX40
TMC6	EVER1
COA6	C1orf31
KDM5B	JARID1B
ACSM1	BUCS1
CDX2	CDX3
ARX	MRXS1
ARX	PRTS
ARX	MRX76
ARX	MRX54
ARX	MRX43
ARX	MRX36
ARX	MRX29
ARX	MRX32
ARX	MRX33
ARX	MRX38
ARX	MRX87
EMSY	C11orf30
AHSP	ERAF
TMEM199	C17orf32
DEFB107A	DEFB107
CCDC50	C3orf6
CCDC50	DFNA44
DEFB104A	DEFB104
ILDR2	C1orf32
EIF3L	EIF3S6IP
EIF3L	EIF3EIP
CEACAM1	BGP
DCDC2	DFNB66
DSEL	C18orf4
PHF6	BFLS
PHF6	BORJ
A4GALT	P1
CEACAM3	CGM1
ACOT11	THEA
TAB1	MAP3K7IP1
VCX3A	VCX3
STYXL1	DUSP24
CEACAM5	CEA
CEACAM6	NCA
GIPC3	C19orf64
GIPC3	DFNB72
GIPC3	DFNB15
SIAE	YSG2
TMCO1	TMCC4
MTMR12	PIP3AP
CRISPLD1	LCRISP1
MOGAT1	DGAT2L1
CD248	CD164L1
CD99L2	MIC2L1
ELP2	STATIP1
KCTD1	C18orf5
PARL	PSARL
ATP6V0D2	ATP6D2
FMNL2	FHOD2
METTL2B	METTL2
TRERF1	BCAR2
UTP6	C17orf40
RAB40C	RASL8C
RAX2	RAXL1
CFC1	HTX2
SLC2A14	SLC2A3P3
ATP6AP2	ATP6IP2
CEBPA	CEBP
CEBPB	TCF5
TENT5A	C6orf37
TENT5A	FAM46A
ACER1	ASAH3
IFNL1	IL29
IFNL2	IL28A
IFNL3	IL28B
PADI4	PADI5
HPSE2	UFS
ADA2	IDGFL
ADA2	CECR1
H2AP	CXorf27
H2AP	HYPM
HYPK	C15orf63
AGO3	EIF2C3
PTGR1	LTB4DH
HDHD5	CECR5
MIA2	CTAGE5
MIA2	MGEA
MIA2	MGEA6
CHTF18	C16orf41
NAXE	APOA1BP
ZDHHC9	ZDHHC10
ZDHHC9	CXorf11
PDZD2	PDZK3
BCO2	BCDO2
FCRLA	FCRLM1
SPART	SPG20
TMEM47	TM4SF10
VASN	SLITL2
USP48	USP31
STX1B	STX1B1
STX1B	STX1B2
CENPC	CENPC1
KMT2E	MLL5
HSDL2	C9orf99
CCNO	CCNU
TXLNG	CXorf15
CNTRL	CEP1
CNTRL	CEP110
ADGRL2	LPHH1
ADGRL2	LPHN2
PPM1H	ARHCL1
IFNLR1	IL28RA
SUN1	UNC84A
CEP250	CEP2
PNPLA3	C22orf20
PNPLA3	ADPN
LRRK2	PARK8
IFT27	RABL4
RGSL1	RGSL2
SUGP1	SF4
TTC39A	C1orf34
NUP205	C7orf14
ZBTB7B	ZFP67
CDK5RAP2	MCPH3
EIF4A3	DDX48
ST18	ZNF387
ASCC3	HELIC1
NAA10	ARD1
NAA10	ARD1A
MTREX	KIAA0052
MTREX	SKIV2L2
DYNC1LI1	DNCLI1
FBXO17	FBXO26
CFLAR	CASP8AP1
CCDC6	TST1
CCDC6	D10S170
ZFP57	C6orf40
SERINC5	C5orf12
CFTR	CF
CFTR	ABCC7
ADAM11	MDC
GBA2	SPG46
ADGRF1	GPR110
ADGRG4	GPR112
CASP12	CASP12P1
ADGRG5	GPR114
ADGRF4	GPR115
TRIM50	TRIM50A
TRIM51	SPRYD5
DMBX1	OTX3
LRRC8A	LRRC8
COQ8B	ADCK4
SLCO5A1	SLC21A15
ASPM	MCPH5
FFAR4	GPR129
FFAR4	GPR120
FFAR4	O3FAR1
METTL27	WBSCR27
THOC2	CXorf3
THOC2	MRX12
THOC2	MRX35
THOC5	C22orf19
NCR3	LY117
VPS13A	CHAC
NALCN	VGCNL1
TAS2R20	TAS2R49
POMGNT1	MEB
TTBK2	SCA11
GJA9	GJA10
STARD13	LINC00464
TINAGL1	LCN7
CMTM5	CKLFSF5
HMCN1	ARMD1
SMR3A	PROL5
ADGRG7	GPR128
SNX18	SNAG1
PPP6R2	KIAA0685
PPP6R2	SAPS2
TPPP2	C14orf8
PIP4P1	C14orf9
PIP4P1	TMEM55B
CHGB	SCG1
SCAF4	SFRS15
KANK1	ANKRD15
P3H1	LEPRE1
P3H2	LEPREL1
P3H3	LEPREL2
ST6GALNAC5	SIAT7E
DENND5A	RAB6IP1
CUX2	CUTL2
KIF21A	FEOM1
JMJD6	PTDSR
RTKN2	PLEKHK1
FAM13A	FAM13A1
FAM13C	FAM13C1
CHKB	CHKL
SOCS4	SOCS7
CHM	TCD
CHM	DXS540
TADA3	TADA3L
CHN1	CHN
CHN1	DURS2
ADAM17	TACE
CHRNA1	CHRNA
OR2A25	OR2A25P
OR2A25	OR2A27
OR2AK2	OR2AK1P
CHRNB1	CHRNB
CHRND	ACHRD
CHRNG	ACHRG
NECTIN4	PVRL4
RD3	C1orf36
ADAMTSL4	TSRC1
HHIPL1	KIAA1822
DISP2	LINC00594
DISP2	C15orf36
DDHD1	SPG28
XPO6	RANBP20
TNS2	TENC1
CHUK	TCF16
PCNX1	PCNXL1
PCNX1	PCNX
VSX2	HOX10
VSX2	CHX10
TTC7A	TTC7
SRGAP2	FNBP2
FAM177A1	C14orf24
UTP4	CIRH1A
CLEC14A	C14orf27
MDGA2	MAMDC1
FRMD6	C14orf31
ISCA2	HBLD1
TTC7B	TTC7L1
CITED1	MSG1
ZBTB49	ZNF509
NLE1	NLE
ZFAT	ZNF406
ZFAT	ZFAT1
CKB	CKBB
DCAF12	KIAA1892
DCAF12	WDR40A
KIF24	C9orf48
MYORG	KIAA1161
CKM	CKMM
CKMT1B	CKMT
CKMT1B	CKMT1
TECPR2	KIAA0329
PRORP	KIAA0391
TTLL5	KIAA0998
VASH1	KIAA1036
UNC79	KIAA1409
CCDC88C	KIAA1509
OPN5	TMEM13
AARS1	AARS
PCSK9	HCHOLA3
GREM1	CKTSF1B1
GREM1	CRAC1
PAN2	USP52
ADSS1	ADSSL1
PPP1R36	C14orf50
CHURC1	C14orf52
FLVCR2	C14orf58
DEGS2	C14orf66
SLC25A47	C14orf68
TDRD9	C14orf75
ASPG	C14orf76
AHNAK2	C14orf78
AP3S1	CLAPS3
GLRX5	C14orf87
GPR143	OA1
CYB5R4	NCB5OR
PTGR2	ZADH1
SLC17A8	DFNA25
ZFHX2	ZNF409
CHD8	HELSNF1
HAUS4	C14orf94
NYNRIN	KIAA1305
TMEM183A	C1orf37
INTS13	C12orf11
INTS13	ASUN
TMEM260	C14orf101
NRDE2	C14orf102
ATG2B	C14orf103
DNAAF2	C14orf104
CCDC198	C14orf105
MIS18BP1	C14orf106
HFM1	SEC63D1
B3GLCT	B3GALTL
VRTN	C14orf115
DCAF4	WDR21
DCAF4	WDR21A
CLCN5	NPHL2
CLCN5	NPHL1
DCAF11	WDR23
NUP58	NUPL1
SETDB2	C13orf4
NUBPL	C14orf127
PROSER1	C13orf23
SLITRK5	LRRC11
FNDC3A	FNDC3
SLITRK1	LRRC12
LRCH1	CHDC1
CHAMP1	C13orf8
CHAMP1	ZNF828
UTP14C	KIAA0266
RBM26	C13orf10
TMCO3	C13orf11
POMP	C13orf12
UBR7	C14orf130
ZNF839	C14orf131
VIPAS39	C14orf133
CLDN14	DFNB29
VCPKMT	C14orf138
VCPKMT	METTL21D
CEP128	C14orf61
CEP128	C14orf145
LRFN5	C14orf146
CEP170B	KIAA0284
PLEKHG3	KIAA0599
FRY	C13orf14
ZC3H13	KIAA0853
GSX1	GSH1
KRT6C	KRT6E
PDS5B	APRIN
RUBCNL	C13orf18
RUBCNL	KIAA0226L
LNX2	PDZRN1
SPATA7	LCA3
UPF3B	MRX62
UPF3B	UPF3BP1
UPF3B	UPF3BP2
UPF3B	UPF3BP3
FBRS	FBS1
TRAF7	RFWD1
SMC5	SMC5L1
SMC6	SMC6L1
TMC8	EVER2
UBAC2	PHGDHL1
CLDN7	CEPTRL2
CLDN7	CPETRL2
COA8	C14orf153
COA8	APOPT1
SETD3	C14orf154
FSCB	C14orf155
L2HGDH	C14orf160
RHBDF1	C16orf8
CYP2U1	SPG56
MTUS2	KIAA0774
SUPT20H	C13orf19
SUPT20H	FAM48A
UFM1	C13orf20
DIS3	KIAA1008
IFT88	TTC10
PHLPP1	PLEKHE1
PHLPP1	PHLPP
MICAL1	NICAL
DCDC1	DCDC5
CHD7	CRG
ZNF419	ZNF419A
CLIC6	CLIC1L
TXNDC15	C5orf14
RAPGEF6	PDZGEF2
TXNRD3	TXNRD3NB
TXNRD3	TXNRD3IT1
ANO9	TP53I5
ANO9	TMEM16J
NBEAL1	ALS2CR17
NBEAL1	ALS2CR16
OPALIN	TMEM10
SCFD1	C14orf163
TPP1	CLN2
TPP1	SCAR7
CLN3	BTS
FAXC	C6orf168
FANCL	PHF9
RBSN	ZFYVE20
ZFYVE26	SPG15
TUBB4B	TUBB2C
TUBB3	FEOM3
TUBB4A	TUBB4
TUBB4A	DYT4
RHBDF2	RHBDL6
RHBDF2	TOC
ATG4D	AUTL4
ATG4D	APG4D
CLN8	EPMR
CLN8	C8orf61
ATG4B	APG4B
KDM3A	JMJD1
KDM3A	JMJD1A
ADGRL4	ELTD1
FNBP1L	C1orf39
THAP1	DYT6
MCHR2	GPR145
RPF2	BXDC1
GPAT4	AGPAT6
CLTC	CLTCL2
CLTCL1	CLTCL
CLU	CLI
CLU	APOJ
TMEM181	KIAA1423
TMEM181	GPR178
ANKS1A	ANKS1
NACC1	BTBD14B
RIOX1	C14orf169
ADGRL1	LPHN1
TAAR6	TRAR4
PHACTR1	RPEL1
ZSCAN2	ZFP29
LGSN	GLULD1
NHSL1	C6orf63
AARS2	AARSL
CUL7	KIAA0076
NDUFAF4	C6orf66
NUS1	C6orf68
PITPNM3	CORD5
RSPH3	RSHL2
MTHFD1L	FTHFSDC1
ERMARD	C6orf70
